participant,transition_duration_mean,transition_duration_sd,stationary_entropy_all_screens,transition_entropy_all_screens,stationary_entropy_mid,transition_entropy_mid,group,participant_id,session_id
A2:A2_delay1,0.2037957096260939,0.0735320078614403,2.2106854814556636,4.225203472913234,0.2073877024511226,0.3666793034407038,A,A2,A2_delay1
A2:A2_baseline,0.19263845869664983,0.08166050832109366,2.293214509182785,4.400276055020838,0.5612998428908603,0.937787410204156,A,A2,A2_baseline
A2:A2_delay3,0.20225686114016703,0.07262971538799488,2.2395644082155615,4.286526489980391,0.27184628928380017,0.4488295851568861,A,A2,A2_delay3
A2:A2_delay2,0.1958560775000001,0.08217616833627037,2.336563313131313,4.440160677984333,0.7289183129948362,1.2150144110057113,A,A2,A2_delay2
NA1:NA1_delay1,0.21117256542681204,0.1119347079932196,2.403530785110344,4.622802846864279,0.9880272919154243,1.7206144331684325,NA,NA1,NA1_delay1
NA1:NA1_baseline,0.24190496784566387,0.43643911214215414,2.6365030816405,5.012405657928461,0.850761255354925,1.4400010541481758,NA,NA1,NA1_baseline
NA1:NA1_delay2,0.1963257524390242,0.12980776343547018,2.3448366218130983,4.483737395195172,0.49257590378577365,0.8647033881966899,NA,NA1,NA1_delay2
NA1:NA1_delay3,0.19480539304347816,0.11110028151142091,2.5429373707198204,4.841390515480288,1.1489466249470652,1.9736728416918377,NA,NA1,NA1_delay3
A1:A1_delay3_long,0.20483761890472618,0.1098226861637094,2.3904384089867556,4.524513727946644,0.44754291467886537,0.8115909324499931,A,A1,A1_delay3_long
A1:A1_delay2,0.1852550544593522,0.12287196763980247,2.3595320130844812,4.479252759653203,0.4275392508043758,0.7200268999593995,A,A1,A1_delay2
A1:A1_baseline,0.20212517923330806,0.06920426610958641,2.3005726295868225,4.397304578996026,0.34302728564609936,0.6016973032661297,A,A1,A1_baseline
A1:A1_delay1,0.20287053164232638,0.0939029360134831,2.308534134586409,4.383282147534339,0.3472556355638677,0.6593479924592134,A,A1,A1_delay1
A1:A1_delay3,0.1998592267135326,0.10252040901038392,2.3878501075401037,4.526832870982403,0.3104630022717468,0.5833862398012172,A,A1,A1_delay3
A1:A1_delay2_long,0.15923466322188456,0.0955953173224669,2.654407064071369,5.067981586724156,1.0372736516878527,1.968011974033992,A,A1,A1_delay2_long
NA3:NA3_delay2,0.18309141604477602,0.08287620165668744,2.5508836196424807,4.878610985549314,0.8058613055267009,1.296798914249729,NA,NA3,NA3_delay2
NA3:NA3_baseline,0.19097360330578508,0.08154069353402621,2.6002490973332226,4.942459829892468,0.794087484569896,1.3243719841771369,NA,NA3,NA3_baseline
NA3:NA3_delay1,0.1898636148039932,0.0746884979650762,2.494238278321652,4.76579675914197,0.7431717620163595,1.2207765373977693,NA,NA3,NA3_delay1
NA3:NA3_delay3,0.19793575171712027,0.1839192706231142,2.481066525875768,4.736418750496956,0.90383921742127,1.4497144568915514,NA,NA3,NA3_delay3
NA2:NA2_delay1_long2,0.1860631850501367,0.09541317256405686,2.3733797517530943,4.576892345463283,1.1503798182675755,1.840797380355254,NA,NA2,NA2_delay1_long2
NA2:NA2_delay3_long1,0.19684471259842656,0.14578204920373444,2.637883879997918,4.952869509993727,1.45447228969987,2.4336094325163904,NA,NA2,NA2_delay3_long1
NA2:NA2_delay2,0.18950701120346947,0.09732972330733909,2.3921065832155284,4.598209531709634,1.0854914454350297,1.8192202755735454,NA,NA2,NA2_delay2
NA2:NA2_delay3_long2,0.18105747263681565,0.11088471189640751,2.4721953516467057,4.705551431930277,1.1674099680963987,2.0278195081536894,NA,NA2,NA2_delay3_long2
NA2:NA2_delay1_long1,0.19390720653442245,0.105909810233631,2.463597174399366,4.7164701216700164,1.3801592641715732,2.4101574651195126,NA,NA2,NA2_delay1_long1
NA2:NA2_delay3_long3,2.1226129246031755,29.79225968539916,2.569565683022624,4.893889743178962,1.1579616580603103,2.081226487483939,NA,NA2,NA2_delay3_long3
NA2:NA2_delay1_short,0.19069407394957988,0.09194572984968359,2.428326933685418,4.656833524069621,1.1677771581705372,1.7236552735954462,NA,NA2,NA2_delay1_short
NA2:NA2_delay1,0.19066795435333908,0.09349655813993485,2.434600395013369,4.656274875259761,1.1818090177775216,1.9283920508952586,NA,NA2,NA2_delay1
NA2:NA2_delay2_short,0.19559545836837688,0.08667851099900341,2.323204244600294,4.4424593436286965,0.8183100897550248,1.3695608521076736,NA,NA2,NA2_delay2_short
NA2:NA2_delay3,0.18830604023470268,0.09738705181788924,2.476698508132298,4.730223599015141,1.1714784045609423,2.0496341414242956,NA,NA2,NA2_delay3
NA2:NA2_baseline,0.19062516610657712,0.07775233506581382,2.3932251529363264,4.579352771899424,1.024505027552276,1.7048915936055453,NA,NA2,NA2_baseline
